1,2,2,0.0107237,-3.82823670293325,-2.76212376012445,22,23
1,3,3,0.0207189,-4.97465088945257,-3.3222246143174,9,42
1,4,4,0.0223038,-6.01852768571351,-3.99973411631818,1,42
1,5,5,0.0320001,-7.0108332903706,-4.7079932257295,1,57
2,2,2,0.0098972,-3.82825158150886,-2.76215199906288,22,23
2,3,3,0.0178928,-4.97462853686397,-3.32218849887233,9,42
2,4,4,0.0220342,-6.02003509813902,-4.00077281575591,1,48
2,5,5,0.0232209,-7.01050938401611,-4.70779028351925,1,49
3,2,2,0.0115226,-3.80623731650813,-2.76235314622139,29,28
3,3,3,0.0164369,-4.95219432520427,-3.33592187676564,16,39
3,4,4,0.0164868,-6.05421742947908,-4.04442175159734,12,37
3,5,5,0.0226055,-5.84019784665895,-4.19995215763259,2,50
4,2,2,0.0167286,-3.82823712478167,-2.76211101136496,5,41
4,3,3,0.0170636,-4.97462151821523,-3.32217753353365,4,40
4,4,4,0.0181696,-6.01853765878898,-3.99972913208942,2,43
4,5,5,0.0226112,-7.01083505996287,-4.707994193947,2,52
5,2,2,0.0112548,-3.82825187894222,-2.76215212332093,5,31
5,3,3,0.0190048,-4.97462847035589,-3.32217661109292,4,45
5,4,4,0.0176716,-6.02003769293343,-4.00077027861328,2,43
5,5,5,0.0215098,-7.01051814647858,-4.70779091674946,2,48
6,2,2,0.0159136,-3.82789528785758,-2.7621707805206,22,46
6,3,3,0.0228724,-4.97444843976303,-3.32225574507149,24,56
6,4,4,0.0175502,-6.06046081141779,-4.02620400993577,18,43
6,5,5,0.0239017,-7.00016261089884,-4.70298363169178,14,58
7,2,2,0.0229456,-3.82317635596773,-2.75164332840304,16,58
7,3,3,0.0257817,-4.97194070290769,-3.32199346515363,6,59
7,4,4,0.0274961,-5.96376408705331,-4.03238509101265,1,59
7,5,5,0.0250657,-6.24251940898157,-4.66553492092242,1,54
8,2,2,0.0083048,-3.82825192488276,-2.76215213556863,50,23
8,3,3,0.0031734,-4.97462832188444,-3.322176541799,53,8
8,4,4,0.0004963,-6.06050044805684,-4.02622922144987,47,1
8,5,5,0.0128833,-7.00015118227211,-4.70298115340714,42,24
